pipeline,field,replacement-field
brownfield-land,OrganisationURI,organisation
brownfield-land,SiteReference,name
brownfield-land,SiteReference,site
brownfield-land,SiteNameAddress,site-address
brownfield-land,GeoX,longitude
brownfield-land,GeoY,latitude
brownfield-land,SiteplanURL,site-plan-url
brownfield-land,Hectares,hectares
brownfield-land,OwnershipStatus,ownership-status
brownfield-land,HazardousSubstances,hazardous-substances
brownfield-land,PlanningStatus,planning-permission-status
brownfield-land,PermissionType,planning-permission-type
brownfield-land,PermissionDate,planning-permission-date
brownfield-land,PlanningHistory,planning-permission-history
brownfield-land,NetDwellingsRangeFrom,minimum-net-dwellings
brownfield-land,NetDwellingsRangeTo,maximum-net-dwellings
brownfield-land,Deliverable,deliverable
brownfield-land,Notes,notes
brownfield-land,FirstAddedDate,start-date
brownfield-land,LastUpdatedDate,entry-date
brownfield-land,EndDate,end-date
brownfield-land,DevelopmentDescription,
brownfield-land,SiteInformation,
