pipeline,resource,organisation,value,entity
brownfield-land,,local-authority-eng:TEI,BFR001,1700000
brownfield-land,,local-authority-eng:TEI,BFR002,1700001
brownfield-land,,local-authority-eng:TEI,BFR003,1700002
brownfield-land,,local-authority-eng:TEI,BFR004,1700003
brownfield-land,,local-authority-eng:TEI,BFR005,1700004
brownfield-land,,local-authority-eng:TEI,BFR006,1700005
brownfield-land,,local-authority-eng:TEI,BFR007,1700006
brownfield-land,,local-authority-eng:TEI,BFR008,1700007
brownfield-land,,local-authority-eng:TEI,BFR009,1700008
brownfield-land,,local-authority-eng:TEI,BFR010,1700009
brownfield-land,,local-authority-eng:TEI,BFR011,1700010
brownfield-land,,local-authority-eng:TEI,BFR012,1700011
brownfield-land,,local-authority-eng:TEI,BFR013,1700012
brownfield-land,,local-authority-eng:TEI,BFR014,1700013
brownfield-land,,local-authority-eng:TEI,BFR015,1700014
brownfield-land,,local-authority-eng:TEI,BFR016,1700015
brownfield-land,,local-authority-eng:TEI,BFR017,1700016
brownfield-land,,local-authority-eng:TEI,BFR018,1700017
brownfield-land,,local-authority-eng:TEI,BFR019,1700018
brownfield-land,,local-authority-eng:TEI,BFR020,1700019
brownfield-land,,local-authority-eng:TEI,BFR021,1700020
brownfield-land,,local-authority-eng:TEI,BFR022,1700021
brownfield-land,,local-authority-eng:TEI,BFR023,1700022
brownfield-land,,local-authority-eng:TEI,BFR024,1700023
brownfield-land,,local-authority-eng:TEI,BFR025,1700024
brownfield-land,,local-authority-eng:TEI,BFR026,1700025
brownfield-land,,local-authority-eng:TEI,BFR027,1700026
brownfield-land,,local-authority-eng:TEI,BFR028,1700027
brownfield-land,,local-authority-eng:TEI,BFR029,1700028
brownfield-land,,local-authority-eng:TEI,BFR030,1700029
brownfield-land,,local-authority-eng:TEI,BFR031,1700030
brownfield-land,,local-authority-eng:TEI,BFR032,1700031
brownfield-land,,local-authority-eng:TEI,BFR033,1700032
brownfield-land,,local-authority-eng:TEI,BFR034,1700033
brownfield-land,,local-authority-eng:TEI,BFR035,1700034
brownfield-land,,local-authority-eng:TEI,BFR036,1700035
brownfield-land,,local-authority-eng:TEI,BFR037,1700036
brownfield-land,,local-authority-eng:TEI,BFR038,1700037
brownfield-land,,local-authority-eng:PUR,BR/03/001,1700038
brownfield-land,,local-authority-eng:PUR,BR/11/002,1700039
brownfield-land,,local-authority-eng:PUR,BR/11/003,1700040
brownfield-land,,local-authority-eng:PUR,BR/15/004,1700041
brownfield-land,,local-authority-eng:PUR,BR/15/005,1700042
brownfield-land,,local-authority-eng:PUR,BR/20/006,1700043
brownfield-land,,local-authority-eng:PUR,BR/20/007,1700044
brownfield-land,,local-authority-eng:PUR,BR/20/008,1700045
brownfield-land,,local-authority-eng:PUR,BR/20/009,1700046
brownfield-land,,local-authority-eng:PUR,BR/23/010,1700047
