SiteReference,SiteAddress,GeoX,GeoY,CoordinateSystem,Hectares,OrganisationName,OrganisationURI,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,PermissionDate,Notes,NetDwellingsRangeFrom,NetDwellingsRangeTo,FirstAddedDate
FR48,"Naze Court, Naze Lane, Freckleton",342817,428738,OSGB36,0.33,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,owned by a public authority,,Not permissioned,,,,12,12,21/12/2017
FR49,"Whittles, Preston New Road, Warton",343409,429315,OSGB36,0.29,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Permissioned,Out,03/06/2015,(bb) (14/09143),4,4,21/12/2017
FR50,"197 Kirkham Road, North Bypass, Freckleton",342357,429894,OSGB36,2.6,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Permissioned,Full,03/12/2015,(bb) (14/089152),12,12,21/12/2017
FR10,"Quernmore Trading Estate, Croft Butts Lane, Freckleton",343056,428698,OSGB36,0.48,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Permissioned,Full,22/12/2017,(aa) (17/096110),10,10,21/12/2017
KI01,"Sunnybank Mill, Best Street, Kirkham",341802,432382,OSGB36,1.3,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,mixed ownership,,Not permissioned,,,,55,55,21/12/2017
KI30b,"Campbells Caravans, Blackpool Road, Kirkham",340497,429315,OSGB36,2.6,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,,,,,30,30,21/12/2017
KI45,"Post Office Hotel, 18 Freckleton Street, Kirkham",342622,432067,OSGB36,0.06,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Pending decision,,,,6,6,21/12/2017
E09,"Sunnydale Nurseries, Garstang Road, Little Eccleston",341756,440388,OSGB36,1,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Permissioned,Full,11/08/2017,(aa) (16/096481),41,41,21/12/2017
LY14,"AXA Data Centre, Westcliffe, Lytham",337053,427356,OSGB36,1,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Permissioned,Full,28/06/2017,(aa)(16/081675),65,65,21/12/2017
LY35,"Ashtons Nursery, Mythop Road, Lytham",337392,427791,OSGB36,0.3,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Pending permission,,,,12,12,21/12/2017
LY60,"Hole in One, Forest Drive, Lytham St Annes",335723,427598,OSGB36,0.35,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Not permissioned,,,,5,5,21/12/2017
LY30,"Land adj. Land Registry, Preston Road, Lytham",337701,427241,OSGB36,0.481,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Permissioned,Out,11/09/2015,(bb) (14/071846),14,14,21/12/2017
SA103,"Land adj Keenans Mill, Lord Street, St Annes",331984,429394,OSGB36,0.3,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Permissioned,Full,28/02/2017,(aa) (16/090256),26,26,21/12/2017
SA10,"Fairways Garage, Heeley Road, St Annes",331609,429869,OSGB36,0.44,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,Deliverable,Not permissioned,,,,20,20,21/12/2017
SA13,"Public Offices, Clifton Drive South, St Annes",332041,432067,OSGB36,0.3,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,owned by a public authority,,Not permissioned,,,,14,14,21/12/2017
SA50,"Electronic Data Systems (EDS), Heyhouses Lane, St",333656,429171,OSGB36,4.6,Fylde Council,https://opendatacommunities.org/doc/district-council/fylde,not owned by a public authority,,Permissioned,Out,26/10/2016,(bb) 15/078878,88,88,21/12/2017
