name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
DCS1,Land east of Willesden Junction Station,,,2019-10-20,,1.6,700,700,,development-corporation:Q20648596,owned by a public authority,,,not permissioned,,POINT(-0.240301 51.53246),DCS1,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS1
DCS2,2 Scrubs Lane,yes,,2019-10-20,,0.1,85,85,"Permission is subject to S106 being agreed. 20-storey building, 85 C3 homes of which 28 affordable",development-corporation:Q20648596,not owned by a public authority,,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6062&Ver=4,pending decision,,POINT(-0.237725 51.531963),DCS2,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS2
DCS5,Car Giant,,,2019-10-20,,9.7,5600,5600,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.239694 51.527272),DCS5,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS5
DCS6,EMR,,,2019-10-20,,1.8,1200,1200,,development-corporation:Q20648596,owned by a public authority,,,not permissioned,,POINT(-0.241983 51.529977),DCS6,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS6
DCS7,Cumberland Business Park,,,2019-10-20,,1.1,250,250,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.23737 51.529215),DCS7,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS7
DCS8,North Kensington Gate North,yes,,2019-10-20,,0.2,47,47,"Permission is subject to S106 being agreed. 4-storey and 11-storey buildings, 47 C3 homes of which 15 affordable",development-corporation:Q20648596,not owned by a public authority,,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6044&Ver=4,pending decision,,POINT(-0.235402 51.527993),DCS8,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS8
DCS9,Mitre Yard,yes,,2019-10-20,,0.5,200,200,"Permission is subject to S106 being agreed. 19-storey building, 200 C3 homes of which 67 affordable",development-corporation:Q20648596,not owned by a public authority,,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6060&Ver=4,pending decision,,POINT(-0.235433 51.527194),DCS9,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS9
DCS10,North Kensington Gate South,yes,,2019-10-20,,0.1,164,164,"Permission is subject to S106 being agreed. 6 to 20-storey buildings, 164 C3 homes of which 44 affordable",development-corporation:Q20648596,not owned by a public authority,,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6045&Ver=4,pending decision,,POINT(-0.234356 51.526645),DCS10,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS10
DCS11,Mitre Wharf,,,2019-10-20,,0.1,80,80,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.234097 51.526241),DCS11,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS11
DCS12,Willesden Junction Depot,,,2019-10-20,,0.2,50,50,,development-corporation:Q20648596,owned by a public authority,,,not permissioned,,POINT(-0.239968 51.531449),DCS12,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS12
DCS13,2 Victoria Terrace,,,2019-10-20,,0,15,15,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.256048 51.524965),DCS13,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS13
DCS14,Oaklands Triangle,,,2019-10-20,,0.3,50,50,,development-corporation:Q20648596,owned by a public authority,,,not permissioned,,POINT(-0.249123 51.528293),DCS14,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS14
DCS15,Oaklands North,,,2019-10-20,,0.7,250,250,,development-corporation:Q20648596,owned by a public authority,,,not permissioned,,POINT(-0.248928 51.527815),DCS15,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS15
DCS16,"Oaklands, Old Oak Common Lane, London, NW10 6DU",yes,,2019-10-20,,1,605,605,"6 to 26-storey buildings, 601 C3 homes of which 242 affordable",development-corporation:Q20648596,not owned by a public authority,2016-07-13,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6033&Ver=4,permissioned,full planning permission,POINT(-0.249166 51.527171),DCS16,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS16
DCS17,Old Oak South,,,2019-10-20,,14.1,3000,3000,,development-corporation:Q20648596,mixed ownership,,,not permissioned,,POINT(-0.246297 51.525819),DCS17,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS17
DCS19,Big Yellow Storage,,,2019-10-20,,0.2,100,100,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.233539 51.5249),DCS19,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS19
DCS21,Mitre Industrial Estate,,,2019-10-20,,0.9,300,300,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.230991 51.5245),DCS21,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS21
DCS22,Tea Crate,,,2019-10-20,,0.4,100,100,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.231601 51.52371),DCS22,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS22
DCS23,Acton Wells,,,2019-10-20,,3.5,1300,1300,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.255338 51.52456),DCS23,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS23
DCS24,Boden House,,,2019-10-20,,0.7,300,300,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.25665 51.52378),DCS24,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS24
DCS25,Midland Gate,,,2019-10-20,,0.2,50,50,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.253385 51.525368),DCS25,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS25
