name,site-address,deliverable,end-date,entry-date,hazardous-substances,hectares,maximum-net-dwellings,minimum-net-dwellings,notes,organisation,ownership-status,planning-permission-date,planning-permission-history,planning-permission-status,planning-permission-type,point,site,site-plan-url,start-date,slug
DCS26,"Holbrook House, Victoria Road Acton W3 6UW",yes,,2019-10-20,,0.1,424,424,16 to 24-storey buildings comprising 424 student bed spaces,development-corporation:Q20648596,not owned by a public authority,2017-02-14,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?keyVal=O4SO8BJM02F00&activeTab=summary,permissioned,full planning permission,POINT(-0.258666 51.522915),DCS26,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS26
DCS27,"Perfume Factory North, 140 Wales Farm Road , Acton W3 6UG",yes,,2019-10-20,,0.5,250,250,Application pending consideration. 3 buildings between 12 and 25 storeys in height to provide 390 residential units of which 105 affordable,development-corporation:Q20648596,not owned by a public authority,,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ORUF2VJM09P00,pending decision,,POINT(-0.257501 51.52227),DCS27,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS27
DCS29,Victoria Estate,,,2019-10-20,,1.7,1100,1100,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.257258 51.520648),DCS29,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS29
DCS30,"6 Portal West, North Acton W3 6RU",yes,,2019-10-20,,0.6,580,580,"Four buildings of 2, 9, 11, 32 and 42 storeys comprising 578 residential flats, 164 affordable",development-corporation:Q20648596,not owned by a public authority,2017-02-14,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?keyVal=O4G865JM02A00&activeTab=summary,permissioned,full planning permission,POINT(-0.262053 51.522109),DCS30,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS30
DCS31,Carphone Warehouse 1 Portal Way Acton W3 6RT,yes,,2019-10-20,,1.1,760,760, 8 blocks ranging in height from 6 to 32 storeys to incorporate up to 764 residential flats,development-corporation:Q20648596,not owned by a public authority,2016-08-08,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW7QJMTA375,permissioned,outline planning permission,POINT(-0.260823 51.521577),DCS31,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS31
DCS32,"The Portal,The Portal Land At Wales Farm Road & Portal Way. Acton W3 6EJ",,,2019-10-20,,0.1,350,350,"Permission is subject to S106 being agreed. Part 10, part 36 storey building comprising 355 residential units, 30% affordable",development-corporation:Q20648596,mixed ownership,,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OFPEEQJM09L00,pending decision,,POINT(-0.259372 51.522012),DCS32,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS32
DCS33,"Perfume Factory South, 140 Wales Farm Road, Acton W3 6UG",yes,,2019-10-20,,0.5,250,250,"Five buildings of 5, 7, 10, 11 and 31 storeys comprising 736 student bed spaces, 85 residential flats",development-corporation:Q20648596,not owned by a public authority,2017-12-06,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OQIGENJM09L00,permissioned,full planning permission,POINT(-0.258008 51.521764),DCS33,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS33
DCS34,Algerian Embassy,,,2019-10-20,,0.4,200,200,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.262619 51.52168),DCS34,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS34
DCS35,"2 Portal Way, Acton W3 6RT",,,2019-10-20,,0.2,300,300,Application pending consideration. Two buildings of 25 and 35 storeys comprising 380 residential flats,development-corporation:Q20648596,not owned by a public authority,,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=OY0WU3JM0E200,pending decision,,POINT(-0.261495 51.52073),DCS35,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS35
DCS36,Shurguard,,,2019-10-20,,0.2,100,100,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.262254 51.520037),DCS36,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS36
DCS37,Big Yellow Storage (Wales Farm Road),,,2019-10-20,,0.5,50,50,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.26154 51.51957),DCS37,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS37
DCS39,Westway Estate,,,2019-10-20,,3.7,1400,1400,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.253067 51.520129),DCS39,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS39
DCS40,Old Oak Common Lane sites,,,2019-10-20,,0.6,200,200,,development-corporation:Q20648596,mixed ownership,,,not permissioned,,POINT(-0.251536 51.521258),DCS40,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS40
DCS41,"ASDA, Park Royal",,,2019-10-20,,4,500,500,,development-corporation:Q20648596,not owned by a public authority,,,not permissioned,,POINT(-0.269333 51.52842),DCS41,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS41
DCS42,247 Acton Lane,yes,,2019-10-20,,0.3,150,150,"Permission is subject to S106 being agreed. Part 4, 5, 6 and 9 storey building comprising 141 extra care units (Use Class C2), 48 being affordable",development-corporation:Q20648596,not owned by a public authority,,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6064&Ver=4,pending decision,,POINT(-0.258556 51.534934),DCS42,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS42
DCS43,First Central and surrounds,,,2019-10-20,,2.7,393,393,This site includes an extant pemission for a hotel to the south of Coronation Road which has not been built out,development-corporation:Q20648596,not owned by a public authority,2013-06-27,https://pam.ealing.gov.uk/online-applications/applicationDetails.do?activeTab=summary&keyVal=ZZZW7UJMTA945,permissioned,full planning permission,POINT(-0.282546 51.530042),DCS43,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS43
DCS43a,"First Central, Lakeside Drive",yes,,2019-10-20,,2.4,807,807,"5 to 27-storey buildings, 807 C3 homes of which 263 affordable",development-corporation:Q20648596,not owned by a public authority,2017-10-11,https://www.london.gov.uk/moderngovopdc/ieListDocuments.aspx?CId=381&MId=6062&Ver=4,permissioned,full planning permission,POINT(-0.282546 51.530042),DCS43a,https://data.london.gov.uk/,2027-12-15,/brownfield-land/development-corporation/Q20648596/DCS43a
