,,,,,,,,,,,,,,PermissionDate,PlanningHistory,ProposedForPIP,MinNetDwellings,DevelopmentDescription,NonHousingDevelopment,Part2,NetDwellingsRangeFrom,NetDwellingsRangeTo,HazardousSubstances,SiteInformation,Notes,FirstAddedDate,LastUpdatedDate
OrganisationURI,OrganisationLabel,SiteReference,PreviouslyPartOf,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,PlanningStatus,PermissionType,,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-,Tonbridge and Malling,,15/01914/FL,"180 High Street, Tonbridge, Kent, TN9 1BX",,WGS84,559044,146792,0.07 not owned by a,,yes,not permissioned,full planning,28-Oct-15,https://publicaccess2.tmbc.gov.uk/online-applications/,,,Demolition of existing office building and the erection of a new,,,,,,,,2017-11-24,2017-11-24
council/tonbridge-and-malling,Borough Council,,,,,,,,,public authority,,,permission,,,,,structure to provide 12 (twelve) new 1 and 2 bedroom apartments,,,,,,,,,
,,,,,,,,,,,,,,,,,,together with 12 on-site car and cycle parking spaces and refuse,,,,,,,,,
,,,,,,,,,,,,,,,,,,facilities. Restoration of existing garden and front boundary,,,,,,,,,
,,TMBC-BFR-002,,,,,,,,,,,,,,,12,,,,,,,,,,
http://opendatacommunities.org/id/district-,Tonbridge and Malling,,13/03692/FL,"Ferns Surfacing Ltd, Bellingham Way, Larkfield, Aylesford,",,WGS84,570674,159389,0.53 not owned by a,,yes,not permissioned,full planning,01-Mar-16,https://publicaccess2.tmbc.gov.uk/online-applications/,,,"Erection of 32 no. dwellings, access road, car parking and",,,,,,,,2017-11-28,2017-11-28
"council/tonbridge-and-malling
http://opendatacommunities.org/id/district-","Borough Council
Tonbridge and Malling",TMBC-BFR-004,15/01900/FL,"Kent
Cricketts Farm House, Borough Green Road, Ightham,",,WGS84,560117,157628,"public authority
0.71 not owned by a",,yes,permissioned,"permission
full planning",14-Mar-16,https://publicaccess2.tmbc.gov.uk/online-applications/,,"32 landscaping at Bellingham Way, Aylesford, Kent
SS BY 18/02931 - The retention, refurbishment and conversion of",,,,,,,,,2017-12-04,2017-12-04
council/tonbridge-and-malling,Borough Council,,,"Sevenoaks, Kent",,,,,,public authority,,,permission,,,,,"Crickets Farmhouse into offices with access, parking and",,,,,,,,,
,,,,,,,,,,,,,,,,,,"landscaping works, and extensions to create a garden room and",,,,,,,,,
,,,,,,,,,,,,,,,,,,lobby/entrance area,,,,,,,,,
,,TMBC-BFR-006,,,,,,,,,,,,,,,5,,,,,,,,,,
http://opendatacommunities.org/id/district-,Tonbridge and Malling,,06/03402/FL,"The River Centre Medway Wharf Road, Tonbridge, Kent",,WGS84,559344,146334,0.35 not owned by a,,yes,not permissioned,,21-Jun-11,https://publicaccess2.tmbc.gov.uk/online-applications/,,,,,,,,,,Expired Permission: Redevelopment of site to provide 73 residential,2017-12-09,2017-12-09
council/tonbridge-and-malling,Borough Council,,,,,,,,,public authority,,,,,,,,,,,,,,,"apartments, 34 units of boarding accommodation for students and",,
,,,,,,,,,,,,,,,,,,,,,,,,,"conference delegates, lecture and meeting rooms and ancillary facilities,",,
,,,,,,,,,,,,,,,,,,,,,,,,,"a children's nursery, pedestrian and cycle bridge and associated park",,
,,TMBC-BFR-009,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-,Tonbridge and Malling,,,"Drayton Road Industial Estate, Tonbridge",,WGS84,559187,145540,1.68 not owned by a,,yes,not permissioned,,,https://publicaccess2.tmbc.gov.uk/online-applications/,,,,,,,,,,,2017-12-13,2017-12-13
"council/tonbridge-and-malling
http://opendatacommunities.org/id/district-","Borough Council
Tonbridge and Malling",TMBC-BFR-011,,,,WGS84,560679,156882,,"public authority
not owned by a",yes,not permissioned,,,https://publicaccess2.tmbc.gov.uk/online-applications/,,5,,,,,,,,GREEN BELT REFUSED: Planning App 16/03760/FL: Demolition of,2017-11-14,2017-11-14
council/tonbridge-and-malling,Borough Council,,,,,,,,,public authority,,,,,,,,,,,,,,,existing office building and the erection of 10 residential,,
,,,,,,,,,,,,,,,,,,,,,,,,,"dwellings. Access from existing Quarry Hill Roundabout, provision",,
,,,,,,,,,,,,,,,,,,,,,,,,,"of public open space, works associated with de-culverting and",,
,,,,,,,,,,,,,,,,,,,,,,,,,"diversion of the watercourse, sustainable urban drainage",,
,,,,,,,,,,,,,,,,,,,,,,,,,"systems; associated landscaping, infrastructure and earthworks",,
,,TMBC-BFR-012,,"Office site, Quarry Hill Rd, Borough Green",,,,,0.28,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-,Tonbridge and Malling,,17/03513/FL/OA,Land West Of Hermitage Lane And East Of Units 4A 4B And 4C,,WGS84,572642,157491,3.11,not owned by a,yes,permissioned,,,https://publicaccess2.tmbc.gov.uk/online-applications/,,64 Hybrid Planning Application: The demolition of all existing,,,,,,,,,,
council/tonbridge-and-malling,Borough Council,,,Mills Road Quarry Wood Industrial Estate Aylesford Kent,,,,,,public authority,,,,,,,,buildings and structures and redevelopment to provide a new,,,,,,,,,
,,,,,,,,,,,,,,,,,,Centenary Village. Full planning permission for the,,,,,,,,,
,,,,,,,,,,,,,,,,,,redevelopment of the site to provide 24 Assisted Living,,,,,,,,,
,,,,,,,,,,,,,,,,,,"Apartments, 40 Dwellings, Community Hub, Access Roads,",,,,,,,,,
,,,,,,,,,,,,,,,,,,Landscaping and Parking (Phase 2). (Outline planning,,,,,,,,,
,,,,,,,,,,,,,,,,,,permission for up to 35 Dwellings (all matters reserved) (Phase,,,,,,,,,
,,,,,,,,,,,,,,,,,,3) - on C2 list),,,,,,,,,
,,TMBC-BFR-013,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-,Tonbridge and Malling,,18/00036/PDVOR,Tonbridge Chambers Pembury Road Tonbridge Kent TN9 2HZ,,WGS84,558707,145796,0.30,not owned by a,yes,permissioned,,,https://publicaccess2.tmbc.gov.uk/online-applications/,,31 Prior Notification: change of use from office (Class B1) to,,,,,,,,,,
"council/tonbridge-and-malling
http://opendatacommunities.org/id/district-","Borough Council
Tonbridge and Malling",TMBC-BFR-014,18/01412/FL,The Car Company Priory Road Tonbridge Kent TN9 2BW,,WGS84,559363,145875,0.22,"public authority
not owned by a",yes,permissioned,full planning,,https://publicaccess2.tmbc.gov.uk/online-applications/,,"residential (Class C3) (Part 3 Class O) to provide 30 x 1 bed
units and 1 x 2 bed units
30 Demolition of existing warehouses (Use class B1) and erection",,,,,,,,,,
"council/tonbridge-and-malling
http://opendatacommunities.org/id/district-","Borough Council
Tonbridge and Malling",TMBC-BFR-015,17/02248/OA,Taddington Wood North Of Robin Hood Lane Blue Bell Hill,,WGS84,575193,162509,0.61,"public authority
not owned by a",yes,permissioned,permission,,https://publicaccess2.tmbc.gov.uk/online-applications/,,"of 14no. 3 bed dwelling with 16no. parking spaces (Use class
C3)5 Outline Application for the erection of 5 dwelling houses and 5",,,,,,,,,,
"council/tonbridge-and-malling
http://opendatacommunities.org/id/district-","Borough Council
Tonbridge and Malling",TMBC-BFR-016,18/00995/FL,"Chatham Kent
94 Mill Hall Aylesford Kent ME20 7JN",,WGS84,571836,158873,0.25,"public authority
not owned by a",yes,permissioned,full planning,,https://publicaccess2.tmbc.gov.uk/online-applications/,,"detached garages with associated parking, turning areas and
landscaping21 Demolition of the existing building and redevelopment of the site",,,,,,,,,,
council/tonbridge-and-malling,Borough Council,,,,,,,,,public authority,,,permission,,,,,to provide a five storey building with parking and landscaping at,,,,,,,,,
,,,,,,,,,,,,,,,,,,ground floor level and 21 residential units on the upper four,,,,,,,,,
,,,,,,,,,,,,,,,,,,"floors, together with landscaping and other associated works",,,,,,,,,
,,TMBC-BFR-017,,,,,,,,,,,,,,,,,,,,,,,,,
http://opendatacommunities.org/id/district-,Tonbridge and Malling,,16/03380/FL,Brunswick Yard Pound Road East Peckham Tonbridge Kent,,WGS84,566721,148751,0.48,not owned by a,yes,permissioned,full planning,,https://publicaccess2.tmbc.gov.uk/online-applications/,,10 Demolition of existing buildings and residential development,,,,,,,,,,
