Organisation URI,OrganisationLabel,SiteReference,PreviouslyPart Of,SiteNameAddress,SiteplanURL,CoordinateReferenceSystem,GeoX,GeoY,Hectares,OwnershipStatus,Deliverable,Planning Status,PermissionType,Permission Date,Planning History,Proposed For PIP,Min Net Dwellings,Development Description,Non Housing Development,Part2,Net Dwellings Range From,Net Dwellings Range To,Hazardous Substances,Site Information,Notes,First Added Date,Last Updated Date
http://opendatacommunities.org/id/district-council/west-devon,West Devon Borough Council,WD_32_11_13,,"""Jethro's Motel, Lewdown, EX20 4DS""",https://goo.gl/maps/mooj8TDEwNW9Lyk6A,"50.659441, -4.182754",245826,86676,1.51,not owned by a public authority,yes,permissioned,full planning permission,14/11/2017,,,11,"""Change of use of disused entertainment venue, workshop and stables by conversion to 11 residential units of accommodation""",,,,,,,2844/15/FUL & 1199/18/OPA,22/12/2017,13/01/2021
http://opendatacommunities.org/id/district-council/west-devon,West Devon Borough Council,WD_13_12_13,,"""H10 Woollen Mill, North Tawton""",https://goo.gl/maps/GuMzXFnMr2g1Q1np6,"50.798860, -3.906435",265721,101629,1.55,not owned by a public authority,yes,permissioned,Lapsed ,15/04/2015,,,62,"""Residential development of 39 new residential units, and conversion of buildings to create further 23 residential units"" ","""B1 office space, plus associated works including flood alleviation and access""",,,,,,01990/2011 ,22/12/2017,13/01/2021
http://opendatacommunities.org/id/district-council/west-devon,West Devon Borough Council,00682/2014,,"""Folly Gate Garage, Folly Gate, Okehampton, Devon, EX20 3AH""",https://goo.gl/maps/BK6EbSqWH1Te6s7k8,"50.765349, -4.022275",257471,98132,0.21,not owned by a public authority,yes,permissioned,full planning permission,16/07/2019,,,8,"""Demolition of bungalow, garage complex and outbuildings and erection of 11 dwellings and associated site works.""",,,,,,,4147/17/FUL & 0246/19/FUL & 2401/19/ARC & 3382/19/ARC,22/12/2017,13/01/2021
http://opendatacommunities.org/id/district-council/west-devon,West Devon Borough Council,OP13,,"""Hatherleigh Market""",https://goo.gl/maps/fjXCkAiVAqdZb8zL9,https://goo.gl/maps/fjXCkAiVAqdZb8zL9,253944,104459,4.93,not owned by a public authority,yes,permissioned ,full planning permission, 17/09/2019,,,106,"""Redevlopment of former Hatherleigh Cattle Market comprising 102 residential units, fur and feathers auction facility/pavilion, A1/A2/A3 commercial units, market square and associated infrastructure"" ","""retail (Use Classes A1, A2 and/or A3), employment floorspace (Use Classes B1, B2 and/or B8), together with new Public Realm including Market Square with associated Pavilion, Play Space, Hard and Soft Landscaping, Community Allotments, Means of Access, Public and Private Car Parking, and associated Infrastructure.""",,,,,,1794/18/FUL & 3068/19/ARC & 3266/19/ARC & 3301/19/ARC & 3698/19/ARC & 0398/20/ARC  & 1655/20/ARC & 3299/20/ARC,22/12/2017,13/01/2021
