resource,bytes,organisations,endpoints,start-date,end-date
0001a1baf9ddd7505cfef2e671292122de73a44299e5f5e584e9ec1514c0181c,14983,local-authority-eng:TEI,2d910b7c3c7e1f87b2662f644863d66e52f0c80166d9304187491ea2e6f43643,2020-03-13,2020-08-13
000b261f1757b69b9435ec20bae8f2b141677d17c054f01b187c8952e117db33,5573,local-authority-eng:PUR,ebf97bd43269f3cd64b503c68e4214946c7e33174fa0bf5135160046f944ab27;fab8e79f5638d18cd31f4ffbeda260e42c31eaac184c5e2fa11ee5c7fffb218e,2018-05-22,2018-07-31
01397495c581be47ae1fbb0d368e3d336927a8b3ff1410d4a2be4faac0481861,32741,local-authority-eng:ROT,2638d2e8a6dab627c53f829a5374fd48b25a1df1792d469f6ee126c6f4c1c953,2020-12-21,
017e3b44963d14c281e04af55afc6715f18d77f628e6e3a41e9861915b79283c,12112,local-authority-eng:GOS,d46f17f0731ec70de00ade53bca1dfe7be33bcf8304b57bbd7b6897bfba850e6,2019-10-24,2019-11-02
01c922a3f33dda8ce6b5ab57a5522319157911a039a6441699ed40984555e094,15912,local-authority-eng:TAW,60b42f42b1b2bfa101fa5c5b97126ddae0741eb9ecbf916f47f6818310c1206d,2018-05-22,
01da6cf132ec4520a3a2e8fa8a13fa0c5dc2b09dee01b4f739950905703093b7,4833,local-authority-eng:DAV,d197adb8a5cae279baad3492689bdb3517c6fa1d99ef106ca0035453fcb20273,2020-03-19,2020-04-08
0219993638d3c37f053f2297c1d34e9767a23326c8e24b7ebec770d1e39c003a,36540,local-authority-eng:PTE,6008c5dd6292615222e82edf1c392a42a30d40401e9f3cb03781f02d62c59736,2018-05-22,
024295e6c9a6d22e57e341b08dd494173b8e81c999f2c41fb25bcaf75fcc3748,12199,local-authority-eng:SBU,024ad59af8227d3c99024a506a1a87cd9106174b96e732a82d2e82579a377baa,2019-12-01,
0259cede12dc82d0c4cef68f444d2a1ae3a3d718787f8cdb8ff1fc05243ae004,44806,local-authority-eng:BAN,fe585c59ca2a9e2f386cfd20c41b8393b88307ff489b4674c28670a52ed75916,2019-11-28,2021-12-20
026dd247d90ccc76f9359364a2b20b08142e3b9e8c75f564f4659264df489a7e,17317,local-authority-eng:SNR,03c638874d3c43a497ed10ceba3142d25d555f42f22c855d7d31fac7b95efe6e,2020-10-19,
029cc49adb09689874d3424fbb3b58baefe106a311e8e8ebbc8beb6e0eae5201,14053,local-authority-eng:MEL,a00e9b37982c07846439883c5fe6bab8002f67bf87feeef6715cd5552bc059d4,2019-11-30,2021-09-02
02f2cce9ee3f63f69e74262e5350d553f05805d49645b7c9823d778e86012090,10418,local-authority-eng:COP,9bb49d2edb197888e688b36cf91cb6f68cd25b640bd5863a9929e29c685ba81f,2019-12-27,2020-03-22
03726e130e26ec9d2309dcd1e9a3d8c258047f15331dbbab10da0a6d711cd9fd,21542,local-authority-eng:WOK,0eb8e8e249606cf5295ae92c5d24e3104c37296b8db2ae970e47959a2662c899,2019-10-20,2019-11-25
037ba4565c934c7d1aeeade3d39811b2d667c2a1de9760ecd18339811281180a,23852,local-authority-eng:NDE,890e184530f5e904fafb73802ff125fc03f099d03123521a8e63afa2f32406c2,2019-11-30,2019-12-09
038700272854fcfdc3f20c454bd8035b16134d9e95baa653e4fe9329c4b0a7ba,15329,local-authority-eng:SSO,ddea186bbe78532d6dc7576d1d3eaf01f809aa65da7a8078903bd6c3238c9745,2020-03-31,
03bebd75a639c57ad0917f35e617aefa36919656a6b5412db73b0cbc3e383d55,14761,local-authority-eng:HAS,a6d2d37c1bf8197f493364dc5f7ff90b37612e049ef61dfb4794967ea13466f0,2019-12-21,
03c7a1f30e458d43019c33bf16f050650c7e109a833fa57076a660fad9c02bf4,23202,local-authority-eng:SHE,2f20fc006c85682cfabb883ca81172e881ae96b9f6f5a45ebd1f61f40c0ae530;5d8dc1762636b035e62d703a4d5c58c3afd47f9c2bb99ed5d566c0b1b7c4a2d2;a23863e6b1969f88b0b7bad3e35281b264f1a702482d24f7aa4b0962c5d41270,2018-05-22,
03e51ed503cd400209f247df5539aa9dce49e0c63a9846890c8ea3647b101341,8293,local-authority-eng:BBD,c618cc6e158b44a78bcab28f07508182b8af75e818e075ac1f4ec50dd6e6c5f1,2020-10-05,
049b06464791f4a1dc2c73ecb1d9e5009d9fb0e109a828069babb2c588415f6c,20712,local-authority-eng:BBD,07534c073cb1bf72d7cf14d318ad032197ff9b704078f838c3209e13512aebe9;2d352053538d1edb187630a53fa1f23a9b86e2f85ec512e4046f60176fe5df88,2018-05-22,2020-10-05
060e59f0475aa7d6fc8404bd325939d41442117775feed63fbd7ad1de5af8ac5,28936,local-authority-eng:RIC,2f3a523d8b835409f6215b9a73855f793eceb19af595171be73cad9692c2bcb0,2019-12-15,2019-12-19
0625b56e7da06f2cd34c71c4baf17ac0e00f92762e9a64c78b02e52783a5af1e,34070,local-authority-eng:SFT,bc9ee1a1487c6e588593d6571ba87806672d320db6836588e6005356b7e054ac,2019-10-24,2019-11-02
06323d848513172ef08e6362d29f0476a2b53d57e2a432e2c7e1f6533f81d5b5,104844,local-authority-eng:ISL,1c15c98d5aee488398bbb5ad1145a46aa74dedfecaffd7a475eaaace32edc669,2019-10-24,2019-11-02
06ce74170cf0aaff9bf7f32b232f7b0d930832e588a98704f5b792277765ba18,13571,local-authority-eng:TEI,ad899eafdfc899170150b2510e80daf8133a6ce61aabac9f264442061561dc81,2019-12-01,2020-08-13
06db693a4cd4e606aa2ddb249465a695409df34214d85898b3ed877192a52dcf,23446,local-authority-eng:HAT,64b13c5c09ae84cf87f082d71c98acf1b544ddd76d97198878baf8777bfbd10f,2018-05-22,
070747cb51d68682cd9a42e6d3e7887cf1789164006238b4c3bd52d5243307b6,7156,local-authority-eng:SST,79d7404b98b7f46b719c5cae8d47f16ec446130dbae7a9ec35c40609b2038205,2018-05-22,
0718b0fcb6c27713952a624965815f05a214a9c1861a8271367502f60ac44e82,184247,local-authority-eng:LDS,cf8dddc0cb6ff45aea4042b8c0000f0ec40f09baec4cc04dea849ab493890df8,2019-10-20,
